MAROB_ID_1,MAROB_ID_2,messzeit,kennung,lat,lon,Score
48513431,48513444,1,1.0,1.0,1.0,1.0
48628057,48628030,1,1.0,0.9500000000000002,1.0,0.9875
49311077,49311291,1,1.0,1.0,0.990000000000002,0.9975000000000005
49311077,49311559,1,1.0,1.0,0.9750000000000014,0.9937500000000004
49311077,49312152,1,1.0,0.9900000000000002,0.9750000000000014,0.9912500000000004
49311291,49311559,1,1.0,1.0,0.9849999999999994,0.9962499999999999
49311371,49311077,1,1.0,0.9749999999999996,0.9750000000000014,0.9875000000000003
49311371,49311291,1,1.0,0.9749999999999996,0.9849999999999994,0.9899999999999998
49311371,49311559,1,1.0,0.9749999999999996,1.0,0.9937499999999999
49311371,49312152,1,1.0,0.9849999999999994,1.0,0.9962499999999999
49312152,49311291,1,1.0,0.9900000000000002,0.9849999999999994,0.9937499999999999
49312152,49311559,1,1.0,0.9900000000000002,1.0,0.9975
